MODEL_TYPE,HAND_TYPE,LANDMARK_1,LANDMARK_2,LANDMARK1_ID,LANDMARK2_ID,EUCLIDEAN_DISTANCE
A4_CONTOURS,RIGHT,WRIST,THUMB_CMC,0,1,5.621
A4_CONTOURS,RIGHT,WRIST,THUMB_MCP,0,2,9.627
A4_CONTOURS,RIGHT,WRIST,THUMB_IP,0,3,13.069
A4_CONTOURS,RIGHT,WRIST,THUMB_TIP,0,4,15.746
A4_CONTOURS,RIGHT,WRIST,INDEX_MCP,0,5,11.893
A4_CONTOURS,RIGHT,WRIST,INDEX_PIP,0,6,16.662
A4_CONTOURS,RIGHT,WRIST,INDEX_DIP,0,7,19.394
A4_CONTOURS,RIGHT,WRIST,INDEX_TIP,0,8,21.574
A4_CONTOURS,RIGHT,WRIST,MIDDLE_MCP,0,9,11.619
A4_CONTOURS,RIGHT,WRIST,MIDDLE_PIP,0,10,16.981
A4_CONTOURS,RIGHT,WRIST,MIDDLE_DIP,0,11,19.937
A4_CONTOURS,RIGHT,WRIST,MIDDLE_TIP,0,12,22.188
A4_CONTOURS,RIGHT,WRIST,RING_MCP,0,13,11.156
A4_CONTOURS,RIGHT,WRIST,RING_PIP,0,14,15.882
A4_CONTOURS,RIGHT,WRIST,RING_DIP,0,15,18.782
A4_CONTOURS,RIGHT,WRIST,RING_TIP,0,16,20.876
A4_CONTOURS,RIGHT,WRIST,PINKY_MCP,0,17,10.396
A4_CONTOURS,RIGHT,WRIST,PINKY_PIP,0,18,14.073
A4_CONTOURS,RIGHT,WRIST,PINKY_DIP,0,19,16.206
A4_CONTOURS,RIGHT,WRIST,PINKY_TIP,0,20,17.911
A4_CONTOURS,RIGHT,THUMB_CMC,THUMB_MCP,1,2,4.33
A4_CONTOURS,RIGHT,THUMB_CMC,THUMB_IP,1,3,8.108
A4_CONTOURS,RIGHT,THUMB_CMC,THUMB_TIP,1,4,10.866
A4_CONTOURS,RIGHT,THUMB_CMC,INDEX_MCP,1,5,8.741
A4_CONTOURS,RIGHT,THUMB_CMC,INDEX_PIP,1,6,13.389
A4_CONTOURS,RIGHT,THUMB_CMC,INDEX_DIP,1,7,16.128
A4_CONTOURS,RIGHT,THUMB_CMC,INDEX_TIP,1,8,18.345
A4_CONTOURS,RIGHT,THUMB_CMC,MIDDLE_MCP,1,9,9.893
A4_CONTOURS,RIGHT,THUMB_CMC,MIDDLE_PIP,1,10,14.919
A4_CONTOURS,RIGHT,THUMB_CMC,MIDDLE_DIP,1,11,17.835
A4_CONTOURS,RIGHT,THUMB_CMC,MIDDLE_TIP,1,12,20.096
A4_CONTOURS,RIGHT,THUMB_CMC,RING_MCP,1,13,10.625
A4_CONTOURS,RIGHT,THUMB_CMC,RING_PIP,1,14,14.76
A4_CONTOURS,RIGHT,THUMB_CMC,RING_DIP,1,15,17.465
A4_CONTOURS,RIGHT,THUMB_CMC,RING_TIP,1,16,19.464
A4_CONTOURS,RIGHT,THUMB_CMC,PINKY_MCP,1,17,11.087
A4_CONTOURS,RIGHT,THUMB_CMC,PINKY_PIP,1,18,14.274
A4_CONTOURS,RIGHT,THUMB_CMC,PINKY_DIP,1,19,16.222
A4_CONTOURS,RIGHT,THUMB_CMC,PINKY_TIP,1,20,17.84
A4_CONTOURS,RIGHT,THUMB_MCP,THUMB_IP,2,3,3.841
A4_CONTOURS,RIGHT,THUMB_MCP,THUMB_TIP,2,4,6.588
A4_CONTOURS,RIGHT,THUMB_MCP,INDEX_MCP,2,5,6.134
A4_CONTOURS,RIGHT,THUMB_MCP,INDEX_PIP,2,6,10.099
A4_CONTOURS,RIGHT,THUMB_MCP,INDEX_DIP,2,7,12.701
A4_CONTOURS,RIGHT,THUMB_MCP,INDEX_TIP,2,8,14.865
